Geography,Date,Units,BodyType,Private male,Private female,Private unknown,Company,Between keepers,Total
England,2001 Q4 (end December),Thousands,Other vehicles,163.4,10.4,9.8,215.2,0,398.7
England,2002 Q4 (end December),Thousands,Other vehicles,164.2,10,10.2,215.4,0,399.8
England,2003 Q4 (end December),Thousands,Other vehicles,166.2,9.9,10.9,217.5,0,404.5
England,2004 Q4 (end December),Thousands,Other vehicles,173.5,10.2,12.2,222.1,0,418
England,2005 Q4 (end December),Thousands,Other vehicles,177.1,10.3,12.2,223.8,0,423.4
England,2006 Q4 (end December),Thousands,Other vehicles,177.4,10.3,12.1,224,0,423.8
England,2007 Q4 (end December),Thousands,Other vehicles,186.8,14.7,12,229.2,0,442.7
England,2008 Q4 (end December),Thousands,Other vehicles,194.5,18.6,11.9,237.1,0,462
England,2009 Q4 (end December),Thousands,Other vehicles,202.1,21.6,11.9,240.2,0,475.8
England,2010 Q4 (end December),Thousands,Other vehicles,205.6,23.8,12.2,245.2,0,486.8
England,2011 Q4 (end December),Thousands,Other vehicles,209.7,25,12.8,258,0,505.4
England,2012 Q4 (end December),Thousands,Other vehicles,213.4,26.4,12.8,273.4,0,526
England,2013 Q4 (end December),Thousands,Other vehicles,218,28.6,12.8,282,0,541.4
England,2014 Q4 (end December),Thousands,Other vehicles,220.4,30.5,13,288,0,552
England,2015 Q4 (end December),Thousands,Other vehicles,222.9,31.7,13.1,295.1,0,562.8
England,2016 Q4 (end December),Thousands,Other vehicles,225.6,33.2,13.1,303.5,0,575.4
England,2017 Q4 (end December),Thousands,Other vehicles,230.4,34.6,13.3,312.3,0,590.6
England,2018 Q4 (end December),Thousands,Other vehicles,232.3,35.6,13.1,317.6,0,598.6
England,2019 Q4 (end December),Thousands,Other vehicles,233.3,36.4,13.4,323.8,0,606.9
England,2020 Q4 (end December),Thousands,Other vehicles,231.8,37.3,13.5,324.4,0,606.9
England,2021 Q4 (end December),Thousands,Other vehicles,233.7,38.6,13.6,337.6,0,623.5
England,2022 Q4 (end December),Thousands,Other vehicles,234.8,39.8,14.1,345,0,633.6
England,2023 Q4 (end December),Thousands,Other vehicles,234,40.9,14.4,353.3,0,642.6
England,2024 Q4 (end December),Thousands,Other vehicles,234.9,42.4,14.5,362.5,0,654.3
England,2025 Q4 (end December),Thousands,Other vehicles,234.4,43.5,14.5,359.8,0,652.1
England,1994 Q4 (end December),Thousands,Total,"12,178.30","5,265.50",450.4,"3,505.80",0.1,"21,400.00"
England,1995 Q4 (end December),Thousands,Total,"12,139.10","5,409.00",478.5,"3,541.50",0.1,"21,568.20"
