Geography,Date,Units,0 g/km,1 to 50 g/km,51 to 75 g/km,76 to 90 g/km,91 to 100 g/km,101 to 110 g/km,111 to 130 g/km,131 to 150 g/km,151 to 170 g/km,171 to 190 g/km,191 to 225 g/km,226 to 255 g/km,Over 255 g/km,Unknown,Total,Average reported emissions (g/km)
England,2022 Q4 (end December),Thousands,560.4,319.0,68.2,333.1,"1,709.1","2,957.7","7,475.7","6,017.8","3,481.8","1,690.7","1,155.7",413.8,380.1,825.5,"27,388.5",134.8
England,2023 Q4 (end December),Thousands,827.0,428.3,70.5,331.6,"1,721.7","2,989.5","7,701.8","6,047.3","3,364.0","1,600.7","1,103.7",397.0,359.6,779.4,"27,721.9",132.3
England,2024 Q4 (end December),Thousands,"1,140.8",553.6,71.3,328.4,"1,736.5","3,031.7","7,849.8","6,069.3","3,228.9","1,517.1","1,048.9",375.3,336.2,764.0,"28,051.7",129.5
England,2025 Q4 (end December),Thousands,"1,534.0",721.0,74.2,324.0,"1,749.4","3,072.5","7,996.5","6,045.7","3,098.9","1,438.8","1,003.8",360.0,320.2,761.5,"28,500.7",126.3
Scotland,2007 Q4 (end December),Thousands,[low],[low],0.0,[low],[low],10.5,82.5,410.7,413.1,260.8,161.1,56.7,43.4,762.0,"2,200.8",167.7
Scotland,2008 Q4 (end December),Thousands,[low],[low],0.0,[low],0.3,15.3,104.9,467.8,452.8,285.9,174.8,59.7,48.2,623.4,"2,233.2",166.7
Scotland,2009 Q4 (end December),Thousands,[low],[low],0.0,0.2,1.5,23.2,143.1,520.8,478.5,297.6,181.7,60.9,50.2,491.9,"2,249.6",164.9
Scotland,2010 Q4 (end December),Thousands,[low],[low],0.0,0.5,3.6,32.5,199.0,559.6,486.9,295.1,180.8,60.6,49.8,386.1,"2,254.5",162.6
Scotland,2011 Q4 (end December),Thousands,0.1,[low],0.0,0.7,7.9,47.9,257.7,591.7,485.5,289.5,177.8,60.3,48.9,296.3,"2,264.4",160.2
Scotland,2012 Q4 (end December),Thousands,0.2,[low],0.0,1.7,20.0,67.0,328.4,614.0,472.9,278.5,171.4,58.6,46.7,225.5,"2,285.1",157.4
Scotland,2013 Q4 (end December),Thousands,0.4,0.1,[low],4.1,44.6,94.1,409.4,623.5,452.1,259.5,161.5,55.8,44.2,169.9,"2,319.2",153.9
Scotland,2014 Q4 (end December),Thousands,0.9,0.4,0.1,9.5,78.6,130.3,484.9,616.7,427.3,237.1,150.6,51.9,41.3,129.2,"2,359.0",150.0
Scotland,2015 Q4 (end December),Thousands,1.5,1.2,0.3,15.0,115.3,175.9,544.2,598.0,397.1,213.3,136.7,47.0,37.8,100.2,"2,383.6",146.2
Scotland,2016 Q4 (end December),Thousands,2.1,2.1,0.8,20.3,151.3,229.2,605.6,581.5,368.0,191.8,124.1,42.4,34.8,79.2,"2,433.1",142.4
Scotland,2017 Q4 (end December),Thousands,3.1,3.5,1.4,25.9,179.2,276.2,660.3,560.2,336.8,171.5,111.1,37.8,31.8,63.6,"2,462.4",139.1
Scotland,2018 Q4 (end December),Thousands,4.2,5.6,2.1,30.1,194.5,309.9,715.8,542.5,311.2,154.1,99.5,33.6,29.2,53.6,"2,486.0",136.5
Scotland,2019 Q4 (end December),Thousands,6.7,7.0,2.7,33.9,198.7,333.8,776.4,534.2,296.7,139.3,90.8,30.3,26.8,47.2,"2,524.5",134.5
Scotland,2020 Q4 (end December),Thousands,13.7,9.8,2.9,33.5,196.8,335.2,794.3,531.7,287.2,132.1,85.5,28.9,25.1,43.2,"2,519.8",133.3
Scotland,2021 Q4 (end December),Thousands,24.2,15.5,3.2,32.4,191.5,331.1,812.2,529.1,277.7,126.3,80.9,28.1,23.8,42.1,"2,518.2",132.1
Scotland,2022 Q4 (end December),Thousands,38.5,21.0,3.4,31.0,187.0,326.7,830.4,536.3,272.6,121.7,77.2,27.6,22.3,41.0,"2,536.6",130.8
Scotland,2023 Q4 (end December),Thousands,55.7,27.9,3.6,29.9,182.9,321.9,850.7,545.2,268.6,117.3,75.0,26.9,21.1,39.9,"2,566.5",129.4
Scotland,2024 Q4 (end December),Thousands,75.6,36.8,3.8,28.5,176.8,316.1,860.4,560.2,264.5,115.1,73.0,25.8,19.5,40.0,"2,596.2",127.9
Scotland,2025 Q4 (end December),Thousands,102.8,51.8,3.9,26.6,169.6,306.9,865.8,563.6,261.9,113.0,71.9,25.0,18.5,40.7,"2,622.0",125.9
Wales,2007 Q4 (end December),Thousands,[low],0.0,[low],[low],0.0,6.7,51.3,225.1,220.1,133.8,84.8,31.7,23.5,643.3,"1,420.2",167.1
Wales,2008 Q4 (end December),Thousands,[low],0.0,[low],[low],0.1,9.7,65.6,261.4,246.7,147.3,91.1,33.1,25.6,548.5,"1,429.0",165.7
Wales,2009 Q4 (end December),Thousands,[low],0.0,[low],0.1,0.8,15.0,86.5,293.3,265.9,154.9,95.4,34.3,26.7,457.0,"1,430.0",163.9
Wales,2010 Q4 (end December),Thousands,[low],[low],[low],0.3,1.9,21.2,115.6,320.0,279.4,156.8,96.4,34.4,27.1,380.1,"1,433.3",161.7
Wales,2011 Q4 (end December),Thousands,[low],0.0,0.0,0.5,4.0,31.1,144.5,345.3,287.9,156.7,96.2,34.5,26.8,310.1,"1,437.6",159.5
Wales,2012 Q4 (end December),Thousands,0.1,[low],0.0,1.0,10.2,42.8,178.4,364.6,289.8,154.9,95.3,34.2,26.4,249.8,"1,447.4",157.1
Wales,2013 Q4 (end December),Thousands,0.1,[low],[low],2.1,23.4,58.5,217.2,377.0,285.5,149.2,92.1,33.0,25.7,196.3,"1,460.2",154.2
Wales,2014 Q4 (end December),Thousands,0.3,0.2,0.1,4.0,40.0,76.4,255.8,382.1,276.5,141.6,88.8,31.9,25.3,154.5,"1,477.5",151.2
Wales,2015 Q4 (end December),Thousands,0.6,0.5,0.3,6.7,59.4,99.7,293.1,379.4,262.9,133.0,84.3,30.5,24.5,121.6,"1,496.4",148.0
Wales,2016 Q4 (end December),Thousands,0.9,0.8,0.5,9.6,80.3,126.2,332.7,375.6,248.3,124.2,79.7,29.0,23.8,95.3,"1,527.1",144.9
Wales,2017 Q4 (end December),Thousands,1.2,1.3,0.8,13.0,99.2,150.8,367.2,365.6,230.6,113.8,74.2,27.0,22.7,74.7,"1,542.1",141.9
Wales,2018 Q4 (end December),Thousands,1.5,1.9,1.1,16.3,113.3,171.1,400.9,356.9,214.9,104.9,69.1,24.8,21.6,61.6,"1,559.8",139.4
Wales,2019 Q4 (end December),Thousands,2.3,2.3,1.2,19.8,123.7,188.0,433.5,352.1,203.6,96.8,64.4,22.8,20.7,52.5,"1,583.5",137.3
Wales,2020 Q4 (end December),Thousands,4.0,3.1,1.2,21.1,126.0,193.5,446.4,348.2,195.4,91.7,61.3,21.6,19.8,45.8,"1,579.2",136.1
Wales,2021 Q4 (end December),Thousands,7.8,5.2,1.5,21.9,129.4,199.3,462.7,346.1,186.2,86.7,58.8,20.9,19.3,42.3,"1,588.1",134.7
Wales,2022 Q4 (end December),Thousands,13.1,7.1,1.7,22.0,131.4,203.2,476.9,347.6,180.4,83.2,56.5,19.9,18.1,40.2,"1,601.4",133.4
Wales,2023 Q4 (end December),Thousands,19.7,9.8,1.8,22.2,133.7,206.6,493.3,349.0,174.8,79.5,54.1,19.3,16.9,38.3,"1,619.0",132.0
Wales,2024 Q4 (end December),Thousands,29.4,13.6,1.9,22.1,134.9,209.5,507.2,352.3,168.9,76.6,51.6,18.3,15.5,36.8,"1,638.7",130.3
Wales,2025 Q4 (end December),Thousands,42.5,19.9,2.1,21.6,135.7,211.6,518.5,351.8,164.3,73.6,49.7,17.8,14.6,36.3,"1,659.9",128.3
Great Britain,2007 Q4 (end December),Thousands,1.2,[low],[low],0.4,[low],128.4,853.3,"4,190.1","4,436.4","2,808.4","2,021.6",780.6,630.9,"12,149.1","28,000.3",171.1
Great Britain,2008 Q4 (end December),Thousands,1.3,[low],[low],0.4,3.3,198.3,"1,102.6","4,810.5","4,900.8","3,076.3","2,163.3",798.2,670.5,"10,435.1","28,160.7",169.5
Great Britain,2009 Q4 (end December),Thousands,1.5,[low],[low],3.8,17.6,305.2,"1,498.0","5,383.8","5,252.2","3,248.8","2,252.5",815.6,691.9,"8,775.5","28,246.5",167.6
Great Britain,2010 Q4 (end December),Thousands,1.6,[low],[low],9.0,48.0,439.2,"2,048.8","5,870.8","5,503.4","3,336.5","2,284.5",822.5,693.2,"7,363.5","28,420.9",165.2
Great Britain,2011 Q4 (end December),Thousands,2.6,[low],[low],12.9,113.3,631.4,"2,616.3","6,292.3","5,644.5","3,350.6","2,267.2",821.5,679.3,"6,035.5","28,467.3",162.8
Great Britain,2012 Q4 (end December),Thousands,4.1,1.0,[low],28.5,264.0,840.1,"3,299.9","6,663.6","5,682.8","3,321.3","2,233.8",815.4,662.6,"4,905.3","28,722.5",160.1
Great Britain,2013 Q4 (end December),Thousands,6.2,1.9,0.1,57.9,545.9,"1,101.5","4,039.8","6,947.0","5,657.7","3,240.7","2,170.9",798.7,644.8,"3,927.9","29,140.9",157.0
Great Britain,2014 Q4 (end December),Thousands,12.1,9.3,1.9,108.0,874.7,"1,440.5","4,737.9","7,039.2","5,523.4","3,087.5","2,088.5",765.2,621.0,"3,123.6","29,432.9",153.9
Great Britain,2015 Q4 (end December),Thousands,20.5,25.5,8.1,168.3,"1,242.8","1,926.2","5,423.8","7,103.8","5,365.9","2,940.2","1,994.3",730.3,601.4,"2,521.4","30,072.5",150.5
Great Britain,2016 Q4 (end December),Thousands,29.1,49.7,18.2,226.7,"1,570.0","2,472.1","6,210.0","7,153.5","5,149.6","2,777.9","1,890.8",688.1,580.1,"2,034.8","30,850.4",147.3
Great Britain,2017 Q4 (end December),Thousands,41.2,78.6,30.7,278.4,"1,801.5","2,930.7","6,928.6","7,093.9","4,853.9","2,583.0","1,753.9",633.9,552.1,"1,639.9","31,200.2",144.3
Great Britain,2018 Q4 (end December),Thousands,55.3,109.4,43.1,325.9,"1,951.0","3,247.2","7,609.5","7,042.8","4,617.6","2,410.4","1,625.6",579.6,522.1,"1,377.9","31,517.6",141.9
Great Britain,2019 Q4 (end December),Thousands,89.6,129.2,54.3,380.9,"2,021.5","3,479.1","8,261.8","7,035.9","4,457.6","2,245.9","1,518.3",531.0,492.9,"1,190.3","31,888.4",139.9
