Geography [note 1],Date,Units,BodyType,Up to 1 year,1 up to 2 years,2 up to 3 years,3 up to 4 years,4 up to 5 years,5 up to 6 years,6 up to 10 years,10 up to 13 years,13 years and over,Unknown [note 2],Total,Average age since first use (years)
Scotland,2016 Q4 (end December),Thousands,Total,251.4,295.3,285.5,248.4,212.5,189.2,673.1,392.9,320.8,49.7,"2,918.90",7
Scotland,2017 Q4 (end December),Thousands,Total,231.5,294.5,298.5,269.9,240.7,200.2,636,392.9,349.6,47.7,"2,961.60",7
Scotland,2018 Q4 (end December),Thousands,Total,224,270.1,297.8,284.9,262.4,227.2,634.2,374.3,369.1,46.6,"2,990.70",7.1
Scotland,2019 Q4 (end December),Thousands,Total,220.9,259,276.2,292.5,281.1,250.9,669.4,355.1,390.1,45.6,"3,040.80",7.2
Scotland,2020 Q4 (end December),Thousands,Total,158.5,252.6,260.4,268.7,288.9,271.3,732.8,343.1,421.5,44.5,"3,042.30",7.5
Scotland,2021 Q4 (end December),Thousands,Total,176.2,174.4,258.4,257.6,269.9,278.6,816,345.6,442.1,44.8,"3,063.60",7.8
Scotland,2022 Q4 (end December),Thousands,Total,170.9,182.3,175.5,258.6,263.2,265.6,901.4,363.3,468,44.3,"3,093.10",8.1
Scotland,2023 Q4 (end December),Thousands,Total,195.9,177.6,184.9,174.7,265.3,259.2,942,396.9,491.7,44.1,"3,132.20",8.3
Scotland,2024 Q4 (end December),Thousands,Total,204.1,212.2,179.4,187.3,184.3,261.8,952.7,443.9,503.7,44.5,"3,173.80",8.4
Scotland,2025 Q4 (end December),Thousands,Total,201.1,225.3,219.6,178.4,195.2,182.5,941.9,500.5,525,44.9,"3,214.40",8.5
Wales,1994 Q4 (end December),Thousands,Buses and coaches,0.4,0.4,0.4,0.3,0.5,0.7,2.3,1,2,0.3,8.4,9.3
Wales,1995 Q4 (end December),Thousands,Buses and coaches,0.4,0.5,0.4,0.4,0.3,0.5,2.5,1.1,1.9,0.3,8.2,9.4
Wales,1996 Q4 (end December),Thousands,Buses and coaches,0.4,0.5,0.5,0.4,0.4,0.4,2.4,1.2,2.1,0.3,8.5,9.7
Wales,1997 Q4 (end December),Thousands,Buses and coaches,0.4,0.4,0.5,0.5,0.4,0.4,2.3,1.3,2.2,0.3,8.8,9.9
Wales,1998 Q4 (end December),Thousands,Buses and coaches,0.5,0.4,0.4,0.6,0.5,0.4,2.2,1.5,2.1,0.4,9,9.7
Wales,1999 Q4 (end December),Thousands,Buses and coaches,0.4,0.5,0.4,0.5,0.6,0.6,1.9,1.7,2.4,0.4,9.4,9.9
Wales,2000 Q4 (end December),Thousands,Buses and coaches,0.4,0.4,0.6,0.5,0.5,0.7,1.9,1.8,2.6,0.4,9.8,10.1
Wales,2001 Q4 (end December),Thousands,Buses and coaches,0.4,0.5,0.4,0.7,0.6,0.5,2.2,1.6,2.6,0.4,9.8,10.1
Wales,2002 Q4 (end December),Thousands,Buses and coaches,0.4,0.4,0.5,0.5,0.6,0.6,2.3,1.3,2.7,0.4,9.8,10.2
Wales,2003 Q4 (end December),Thousands,Buses and coaches,0.5,0.5,0.4,0.5,0.6,0.7,2.5,1.2,2.7,0.4,10,10.1
Wales,2004 Q4 (end December),Thousands,Buses and coaches,0.6,0.6,0.5,0.4,0.6,0.6,2.7,1.3,2.6,0.4,10.3,9.9
Wales,2005 Q4 (end December),Thousands,Buses and coaches,0.7,0.6,0.6,0.5,0.4,0.6,2.7,1.5,2.5,0.3,10.6,9.7
Wales,2006 Q4 (end December),Thousands,Buses and coaches,0.6,0.7,0.7,0.7,0.6,0.4,2.8,1.6,2.4,0.3,10.6,9.6
Wales,2007 Q4 (end December),Thousands,Buses and coaches,0.6,0.6,0.7,0.7,0.7,0.6,2.5,1.7,2.2,0.3,10.6,9.5
Wales,2008 Q4 (end December),Thousands,Buses and coaches,0.5,0.6,0.6,0.7,0.8,0.7,2.3,1.8,2.4,0.3,10.6,9.7
Wales,2009 Q4 (end December),Thousands,Buses and coaches,0.4,0.5,0.6,0.7,0.8,0.7,2.4,1.9,2.4,0.3,10.6,9.8
Wales,2010 Q4 (end December),Thousands,Buses and coaches,0.4,0.4,0.4,0.6,0.7,0.8,2.5,1.8,2.5,0.4,10.5,10.1
Wales,2011 Q4 (end December),Thousands,Buses and coaches,0.4,0.4,0.4,0.5,0.7,0.7,2.8,1.5,2.6,0.4,10.3,10.3
Wales,2012 Q4 (end December),Thousands,Buses and coaches,0.4,0.3,0.3,0.3,0.5,0.6,2.8,1.5,2.7,0.4,9.9,10.6
Wales,2013 Q4 (end December),Thousands,Buses and coaches,0.4,0.4,0.3,0.3,0.4,0.5,2.8,1.6,2.7,0.3,9.8,10.7
Wales,2014 Q4 (end December),Thousands,Buses and coaches,0.3,0.4,0.4,0.3,0.4,0.4,2.6,1.8,2.6,0.3,9.6,11
Wales,2015 Q4 (end December),Thousands,Buses and coaches,0.4,0.3,0.4,0.4,0.3,0.4,2.2,1.9,2.8,0.4,9.5,11.2
Wales,2016 Q4 (end December),Thousands,Buses and coaches,0.4,0.4,0.3,0.4,0.4,0.4,1.9,1.9,2.8,0.4,9.2,11.3
Wales,2017 Q4 (end December),Thousands,Buses and coaches,0.4,0.4,0.4,0.3,0.4,0.5,1.6,1.9,3,0.4,9.2,11.4
Wales,2018 Q4 (end December),Thousands,Buses and coaches,0.3,0.4,0.4,0.4,0.3,0.4,1.7,1.7,3.1,0.3,9.1,11.6
Wales,2019 Q4 (end December),Thousands,Buses and coaches,0.3,0.3,0.4,0.4,0.4,0.3,1.8,1.4,3.3,0.3,9.1,11.8
Wales,2020 Q4 (end December),Thousands,Buses and coaches,0.3,0.3,0.3,0.4,0.4,0.4,1.6,1.1,3.1,0.3,8.1,12
