Geography [note 1],Date,Units,BodyType,Up to 1 year,1 up to 2 years,2 up to 3 years,3 up to 4 years,4 up to 5 years,5 up to 6 years,6 up to 10 years,10 up to 13 years,13 years and over,Unknown [note 2],Total,Average age since first use (years)
Great Britain,2012 Q4 (end December),Thousands,Buses and coaches,9.5,8.3,8.3,8.8,10.8,11.1,45.2,24.3,35.2,4.8,166.3,9.5
Great Britain,2013 Q4 (end December),Thousands,Buses and coaches,8.7,9.5,8.3,8.2,8.8,10.7,44.1,26.1,35.5,4.7,164.5,9.7
Great Britain,2014 Q4 (end December),Thousands,Buses and coaches,8,8.7,9.4,8.1,8.1,8.6,42.9,27.9,35.9,4.7,162.2,9.9
Great Britain,2015 Q4 (end December),Thousands,Buses and coaches,8.9,8,8.6,9.2,8.1,7.9,39.8,28.3,38.1,4.8,161.7,10.1
Great Britain,2016 Q4 (end December),Thousands,Buses and coaches,9.5,8.8,7.9,8.5,9.1,7.8,36.6,28.1,40.2,4.8,161.5,10.2
Great Britain,2017 Q4 (end December),Thousands,Buses and coaches,8.2,9.3,8.7,7.8,8.3,8.7,33.4,27.7,41.6,4.8,158.4,10.4
Great Britain,2018 Q4 (end December),Thousands,Buses and coaches,7.7,8.1,9.2,8.6,7.6,8,31.4,26.9,42.9,4.6,155,10.6
Great Britain,2019 Q4 (end December),Thousands,Buses and coaches,6.8,7.6,8,9,8.5,7.4,30.8,24.8,44.5,4.5,152,10.9
Great Britain,2020 Q4 (end December),Thousands,Buses and coaches,4.8,6.2,7,7.3,8,7.5,28.4,21.1,42.4,4,136.7,11.2
Great Britain,2021 Q4 (end December),Thousands,Buses and coaches,4.1,4.7,6.7,7.5,7.8,8.6,30.5,20,46.8,4.1,140.7,11.6
Great Britain,2022 Q4 (end December),Thousands,Buses and coaches,3.9,4.1,4.7,6.7,7.5,7.8,31.2,20.2,47.9,4,138.1,12
Great Britain,2023 Q4 (end December),Thousands,Buses and coaches,5.6,3.9,4.1,4.7,6.7,7.4,31,20.7,48.3,3.8,136.2,12.2
Great Britain,2024 Q4 (end December),Thousands,Buses and coaches,9.5,5.9,3.9,4,4.6,6.5,30.6,20.6,48.4,3.7,137.7,12.1
Great Britain,2025 Q4 (end December),Thousands,Buses and coaches,9.6,9.4,5.8,3.8,4,4.4,28.8,20.4,48.3,3.5,138,11.9
Great Britain,1994 Q4 (end December),Thousands,Cars,"1,718.20","1,641.60","1,454.10","1,417.80","1,784.00","2,029.80","6,497.10","2,894.30","1,329.50",432.8,"21,199.20",6.7
Great Britain,1995 Q4 (end December),Thousands,Cars,"1,741.20","1,746.30","1,620.70","1,411.80","1,416.50","1,755.90","6,737.80","3,063.80","1,466.50",433.6,"21,394.10",6.8
Great Britain,1996 Q4 (end December),Thousands,Cars,"1,827.40","1,758.20","1,732.10","1,579.30","1,413.70","1,398.80","6,980.50","3,246.80","1,847.90",452.8,"22,237.50",7
Great Britain,1997 Q4 (end December),Thousands,Cars,"1,955.60","1,834.20","1,759.40","1,692.40","1,579.10","1,395.90","6,621.30","3,458.40","2,069.40",465.9,"22,831.70",7.1
Great Britain,1998 Q4 (end December),Thousands,Cars,"2,036.40","1,964.30","1,835.30","1,731.70","1,698.90","1,564.10","6,093.90","3,672.20","2,194.30",502.3,"23,293.30",7.1
Great Britain,1999 Q4 (end December),Thousands,Cars,"2,062.70","2,068.80","1,991.20","1,820.90","1,750.60","1,694.60","5,750.20","3,983.90","2,304.20",548,"23,974.90",7
Great Britain,2000 Q4 (end December),Thousands,Cars,"2,152.70","2,066.80","2,081.80","1,954.80","1,831.50","1,733.20","5,707.80","3,940.30","2,365.20",571.4,"24,405.50",7
Great Britain,2001 Q4 (end December),Thousands,Cars,"2,404.00","2,157.10","2,066.90","2,028.40","1,961.40","1,817.20","6,053.90","3,532.30","2,515.40",589.2,"25,125.90",6.9
Great Britain,2002 Q4 (end December),Thousands,Cars,"2,495.00","2,408.10","2,150.80","2,019.70","2,037.40","1,942.70","6,415.20","3,091.80","2,619.90",601.4,"25,781.90",6.7
Great Britain,2003 Q4 (end December),Thousands,Cars,"2,427.80","2,497.30","2,374.60","2,077.70","2,012.00","2,005.70","6,699.70","2,974.50","2,541.00",630,"26,240.40",6.6
Great Britain,2004 Q4 (end December),Thousands,Cars,"2,368.80","2,459.10","2,506.00","2,352.40","2,106.30","2,004.90","7,036.40","3,167.20","2,366.90",659.9,"27,028.10",6.6
Great Britain,2005 Q4 (end December),Thousands,Cars,"2,252.10","2,414.40","2,461.00","2,463.70","2,357.90","2,088.60","7,262.20","3,331.90","2,223.30",665.2,"27,520.40",6.6
Great Britain,2006 Q4 (end December),Thousands,Cars,"2,117.70","2,268.90","2,405.30","2,402.70","2,448.30","2,327.10","7,447.90","3,370.60","2,172.20",648.5,"27,609.20",6.7
Great Britain,2007 Q4 (end December),Thousands,Cars,"2,161.70","2,163.60","2,266.30","2,351.20","2,392.50","2,422.00","7,817.70","3,542.30","2,249.00",633.9,"28,000.30",6.8
Great Britain,2008 Q4 (end December),Thousands,Cars,"1,946.50","2,224.40","2,182.60","2,221.20","2,349.50","2,369.50","8,231.50","3,721.00","2,316.90",597.6,"28,160.70",6.9
Great Britain,2009 Q4 (end December),Thousands,Cars,"1,853.30","1,977.80","2,245.10","2,151.40","2,227.40","2,335.70","8,644.10","3,825.20","2,424.10",562.2,"28,246.50",7.1
Great Britain,2010 Q4 (end December),Thousands,Cars,"1,875.40","1,854.30","1,970.90","2,198.10","2,134.60","2,197.30","8,899.00","4,087.80","2,624.30",579.3,"28,420.90",7.3
Great Britain,2011 Q4 (end December),Thousands,Cars,"1,788.90","1,882.10","1,854.70","1,928.20","2,192.80","2,118.10","8,805.90","4,543.50","2,811.60",541.4,"28,467.30",7.5
Great Britain,2012 Q4 (end December),Thousands,Cars,"1,899.90","1,797.20","1,882.90","1,821.30","1,924.20","2,179.50","8,564.30","5,039.80","3,103.30",510.1,"28,722.50",7.7
Great Britain,2013 Q4 (end December),Thousands,Cars,"2,126.20","1,904.10","1,797.10","1,847.00","1,817.70","1,907.60","8,404.90","5,385.60","3,467.50",483.2,"29,140.90",7.8
Great Britain,2014 Q4 (end December),Thousands,Cars,"2,304.70","2,104.40","1,871.90","1,719.30","1,817.80","1,785.20","7,938.80","5,458.60","3,972.80",459.4,"29,432.90",7.9
Great Britain,2015 Q4 (end December),Thousands,Cars,"2,437.40","2,298.70","2,082.30","1,812.60","1,726.10","1,797.30","7,539.30","5,349.60","4,588.70",440.4,"30,072.50",7.9
Great Britain,2016 Q4 (end December),Thousands,Cars,"2,507.20","2,452.00","2,288.00","2,025.60","1,829.80","1,712.40","7,271.00","5,227.10","5,115.50",421.9,"30,850.40",8
Great Britain,2017 Q4 (end December),Thousands,Cars,"2,331.10","2,503.00","2,431.80","2,211.90","2,037.30","1,810.60","6,847.90","5,158.80","5,469.80",397.9,"31,200.20",8
Great Britain,2018 Q4 (end December),Thousands,Cars,"2,202.80","2,356.20","2,476.70","2,348.20","2,220.20","2,013.20","6,789.00","4,955.70","5,770.10",385.6,"31,517.60",8.1
Great Britain,2019 Q4 (end December),Thousands,Cars,"2,152.20","2,196.90","2,334.90","2,406.90","2,363.10","2,201.80","7,024.30","4,744.80","6,086.10",377.5,"31,888.40",8.2
Great Britain,2020 Q4 (end December),Thousands,Cars,"1,534.90","2,126.20","2,153.40","2,221.50","2,400.30","2,341.90","7,433.80","4,568.00","6,550.80",365.2,"31,696.00",8.5
Great Britain,2021 Q4 (end December),Thousands,Cars,"1,574.20","1,526.80","2,124.00","2,101.50","2,259.00","2,401.60","8,131.10","4,551.40","6,842.70",366.2,"31,878.60",8.8
Great Britain,2022 Q4 (end December),Thousands,Cars,"1,545.30","1,541.60","1,509.20","2,092.20","2,131.30","2,263.70","8,748.10","4,654.30","7,310.90",373.3,"32,169.90",9.1
Great Britain,2023 Q4 (end December),Thousands,Cars,"1,809.00","1,511.10","1,525.20","1,459.60","2,094.70","2,121.60","8,989.50","4,906.00","7,747.00",382.3,"32,546.00",9.4
Great Britain,2024 Q4 (end December),Thousands,Cars,"1,844.40","1,776.10","1,496.70","1,478.80","1,476.60","2,089.60","8,918.90","5,397.20","8,039.60",397,"32,914.80",9.6
Great Britain,2025 Q4 (end December),Thousands,Cars,"1,905.90","1,824.00","1,767.60","1,452.60","1,494.00","1,476.10","8,667.40","5,941.50","8,460.10",419,"33,408.20",9.7
Great Britain,1994 Q4 (end December),Thousands,Heavy goods vehicles,36.8,29,26.5,25.3,35.1,49.1,136.5,45.5,33.5,2.6,419.7,6.7
Great Britain,1995 Q4 (end December),Thousands,Heavy goods vehicles,44.1,36.7,28.1,25.3,24.5,33.1,141.2,50.8,33.2,4.7,421.7,6.6
Great Britain,1996 Q4 (end December),Thousands,Heavy goods vehicles,42.1,43.9,35.4,26.5,24,22.7,137.7,53.7,37.8,4.9,428.8,6.7
Great Britain,1997 Q4 (end December),Thousands,Heavy goods vehicles,40,44.1,42.5,34.1,25.4,22.2,121.5,57.6,42.5,4.9,435,6.8
Great Britain,1998 Q4 (end December),Thousands,Heavy goods vehicles,49,42.1,41.7,39.4,31.3,23.1,97.4,63.8,47,5,439.9,6.7
Great Britain,1999 Q4 (end December),Thousands,Heavy goods vehicles,48.4,49.2,39.5,39.1,38.6,30.3,82.7,73.1,52.1,5.3,458.3,6.7
Great Britain,2000 Q4 (end December),Thousands,Heavy goods vehicles,51.1,47.4,47.3,37.6,37.6,35.9,83,68,57.2,5.6,470.6,6.7
Great Britain,2001 Q4 (end December),Thousands,Heavy goods vehicles,51.5,49.7,45.8,43.8,35.6,34.3,94.1,51.8,64.1,5.9,476.7,6.6
Great Britain,2002 Q4 (end December),Thousands,Heavy goods vehicles,48.8,50.7,48.5,43.5,41.6,33.5,102.9,38.6,70.4,6.3,484.7,6.6
Great Britain,2003 Q4 (end December),Thousands,Heavy goods vehicles,51.9,47.4,48.7,44.6,41.3,38,107.5,34.6,69.8,6.8,490.4,6.6
Great Britain,2004 Q4 (end December),Thousands,Heavy goods vehicles,52.9,51,46.9,46.4,43.7,37.8,112.8,39.6,66.7,7.3,505.2,6.6
Great Britain,2005 Q4 (end December),Thousands,Heavy goods vehicles,55.2,51.7,49.9,43.2,42.6,38.2,111.4,45.2,62.6,7.6,507.7,6.6
Great Britain,2006 Q4 (end December),Thousands,Heavy goods vehicles,52.5,54.1,50.8,45.9,40.2,37.9,111.6,47.8,59.3,7.7,507.8,6.6
Great Britain,2007 Q4 (end December),Thousands,Heavy goods vehicles,45.2,51.6,53.2,48.3,43.9,36.9,115.8,47.7,59.7,8.3,510.5,6.7
Great Britain,2008 Q4 (end December),Thousands,Heavy goods vehicles,50.7,43.8,49.7,48.9,43.3,37.7,108.8,46,58.4,8.5,495.6,6.7
Great Britain,2009 Q4 (end December),Thousands,Heavy goods vehicles,29.5,49.9,43.2,47.4,46.4,39,109.3,45.5,58.4,9.1,477.5,6.9
Great Britain,2010 Q4 (end December),Thousands,Heavy goods vehicles,28.8,29,49.2,41.8,46.1,42.7,116.1,47.5,59.1,9.7,469.9,7.2
Great Britain,2011 Q4 (end December),Thousands,Heavy goods vehicles,38.8,28.2,28.7,47.3,40.5,41.4,120,47.9,62.1,10.4,465.3,7.4
Great Britain,2012 Q4 (end December),Thousands,Heavy goods vehicles,40.4,38.3,27.6,27.6,44.9,37.3,122.5,48,63.4,10.4,460.4,7.4
Great Britain,2013 Q4 (end December),Thousands,Heavy goods vehicles,49.8,39.8,37.5,26.5,26.3,40.9,122.4,49.5,65.5,10.5,468.7,7.3
Great Britain,2014 Q4 (end December),Thousands,Heavy goods vehicles,36.2,51.1,39.3,35.7,25.6,24.4,127.4,52.2,68,11.1,470.9,7.5
Great Britain,2015 Q4 (end December),Thousands,Heavy goods vehicles,47.1,35.9,50.1,37.4,33.4,22.9,113.4,57.1,71,11.2,479.4,7.5
Great Britain,2016 Q4 (end December),Thousands,Heavy goods vehicles,49.5,46.4,35.3,48.9,35.9,30.3,99.5,61.1,75.6,11.2,493.5,7.5
Great Britain,2017 Q4 (end December),Thousands,Heavy goods vehicles,49.2,48.8,45.2,34.1,46.6,31.5,92.3,60.4,80.1,11.1,499.3,7.5
Great Britain,2018 Q4 (end December),Thousands,Heavy goods vehicles,47.2,48.5,47.8,43.5,32.7,41.7,84.1,59.7,84.1,10.7,500.2,7.5
Great Britain,2019 Q4 (end December),Thousands,Heavy goods vehicles,52.7,46.3,47.4,45.4,41.6,29.8,93,47.8,87.2,10.3,501.4,7.4
Great Britain,2020 Q4 (end December),Thousands,Heavy goods vehicles,35.9,51.4,45.3,45.6,44.5,39,93.3,37.3,84.2,9.3,485.8,7.4
Great Britain,2021 Q4 (end December),Thousands,Heavy goods vehicles,41.4,35.6,51.5,44.8,46.1,43.9,108.5,33,90.2,9.4,504.4,7.5
Great Britain,2022 Q4 (end December),Thousands,Heavy goods vehicles,43.9,40.5,35.2,50.3,43.2,43.5,122.8,34.9,88.3,9,511.6,7.6
Great Britain,2023 Q4 (end December),Thousands,Heavy goods vehicles,49.2,43,39.8,33.7,47.8,39.5,124.4,40.4,83.7,8.5,510,7.7
Great Britain,2024 Q4 (end December),Thousands,Heavy goods vehicles,48.3,48.3,42.4,37.7,32.7,44.3,124.9,41,81.1,8.2,508.9,7.7
Great Britain,2025 Q4 (end December),Thousands,Heavy goods vehicles,45,47.6,47.8,41.1,37.4,31.1,127.7,45.9,80.3,7.9,511.7,7.7
Great Britain,1994 Q4 (end December),Thousands,Light goods vehicles,164,139.9,142.6,141.4,195.4,236.8,696.6,213.5,176.6,32.1,"2,138.90",7.1
Great Britain,1995 Q4 (end December),Thousands,Light goods vehicles,174.9,159.1,135.8,136.2,137.3,188.2,739.2,242.8,173.1,37.3,"2,123.90",7.2
Great Britain,1996 Q4 (end December),Thousands,Light goods vehicles,184.4,170.4,154.6,128,131,131.9,753.5,282.2,199.1,40,"2,175.00",7.4
Great Britain,1997 Q4 (end December),Thousands,Light goods vehicles,205.5,178.6,165.7,147.5,125.4,128.1,690.8,329.2,218.7,42.6,"2,232.20",7.5
Great Britain,1998 Q4 (end December),Thousands,Light goods vehicles,221.4,197.6,174.8,159.8,144.2,120.5,597.5,378,237.8,47.4,"2,279.00",7.5
Great Britain,1999 Q4 (end December),Thousands,Light goods vehicles,222.3,213.7,194.9,171.3,158.5,141.5,505.2,416.9,265.8,53,"2,343.10",7.5
Great Britain,2000 Q4 (end December),Thousands,Light goods vehicles,234.6,214.5,211.3,191,167.3,153,468.5,398.7,286.3,58.2,"2,383.50",7.4
Great Britain,2001 Q4 (end December),Thousands,Light goods vehicles,258.9,228.2,210.7,205,188.5,162.9,491.5,333.6,318.7,64.4,"2,462.20",7.2
Great Britain,2002 Q4 (end December),Thousands,Light goods vehicles,267.8,253.2,223,205.1,201.8,183.4,523.6,270.5,343.3,71.3,"2,543.00",7.1
Great Britain,2003 Q4 (end December),Thousands,Light goods vehicles,294.7,260.9,246.7,213.5,201.8,197,580.2,234.6,341.3,82.8,"2,653.60",6.9
Great Britain,2004 Q4 (end December),Thousands,Light goods vehicles,316.6,290.5,256.3,240.6,213.8,198.8,640.9,243.8,326.9,95,"2,823.00",6.8
Great Britain,2005 Q4 (end December),Thousands,Light goods vehicles,307.7,312.5,283.8,247.7,237,208.3,679.4,257,307.9,102.6,"2,943.90",6.7
Great Britain,2006 Q4 (end December),Thousands,Light goods vehicles,311.3,301,304.8,270.5,241.6,229,708.7,272.9,281,102.8,"3,023.50",6.6
Great Britain,2007 Q4 (end December),Thousands,Light goods vehicles,322.1,305.3,294.1,289.9,266.1,235.2,749.5,306.6,276.9,103.6,"3,149.20",6.6
Great Britain,2008 Q4 (end December),Thousands,Light goods vehicles,275.2,315.8,298.5,280.2,283.3,256.7,775,330.3,277.4,99.5,"3,191.70",6.7
Great Britain,2009 Q4 (end December),Thousands,Light goods vehicles,179.8,274.1,314,291.7,279.2,279.8,836.2,343.4,290.5,96.1,"3,184.80",7.1
Great Britain,2010 Q4 (end December),Thousands,Light goods vehicles,215.6,177.8,269.2,301.8,285.1,273.3,913.4,359.3,315.8,96.5,"3,208.00",7.3
Great Britain,2011 Q4 (end December),Thousands,Light goods vehicles,250.8,212.6,176.1,259.7,295.1,278.4,957.8,388.3,337,92.6,"3,248.50",7.5
Great Britain,2012 Q4 (end December),Thousands,Light goods vehicles,231.5,248.4,210.3,169.5,255,289.1,"1,000.40",431.2,356.2,89.1,"3,280.80",7.7
Great Britain,2013 Q4 (end December),Thousands,Light goods vehicles,263.1,228.9,245.2,203.3,166.8,249.2,"1,027.40",496.7,386,87.5,"3,354.00",7.9
Great Britain,2014 Q4 (end December),Thousands,Light goods vehicles,307,257.7,224.5,231.2,196.7,161.4,989.8,551.3,442.3,86.1,"3,447.90",8
Great Britain,2015 Q4 (end December),Thousands,Light goods vehicles,354.2,303.4,252,213.3,226.4,191.4,882.5,585.8,512,86.4,"3,607.40",8
Great Britain,2016 Q4 (end December),Thousands,Light goods vehicles,361.1,353,298.2,242.7,209,222.1,805.2,607.2,597.2,86.6,"3,782.10",8
Great Britain,2017 Q4 (end December),Thousands,Light goods vehicles,346.9,355.3,344.1,285.8,236.4,202.9,753.9,613.6,674.3,85.2,"3,898.20",8.1
Great Britain,2018 Q4 (end December),Thousands,Light goods vehicles,346.8,342.6,348,331.3,278.8,229.1,719.8,591.3,737.3,84.9,"4,010.00",8.1
Great Britain,2019 Q4 (end December),Thousands,Light goods vehicles,348.6,340.6,336,334.2,322.5,270.9,777.4,501.9,807,84.3,"4,123.40",8.2
Great Britain,2020 Q4 (end December),Thousands,Light goods vehicles,285.5,350.6,337.9,327.1,329,316.6,855.7,449.7,886.2,82.2,"4,220.50",8.4
Great Britain,2021 Q4 (end December),Thousands,Light goods vehicles,344.8,281.7,347.3,329.1,321.8,322.8,956.1,456.5,962.5,83.7,"4,406.20",8.6
Great Britain,2022 Q4 (end December),Thousands,Light goods vehicles,274,341.1,279.5,338.4,321.8,315,"1,071.40",490.9,971.4,82.9,"4,486.10",8.9
Great Britain,2023 Q4 (end December),Thousands,Light goods vehicles,329.1,270.9,335.6,268.9,326.6,312.9,"1,144.40",513.1,984.6,81.5,"4,567.60",9
Great Britain,2024 Q4 (end December),Thousands,Light goods vehicles,337.3,327.1,267.7,321.9,259,315.6,"1,175.60",552.4,"1,012.50",80.3,"4,649.30",9.1
Great Britain,2025 Q4 (end December),Thousands,Light goods vehicles,305.2,338.3,322.7,257.8,313.9,253,"1,180.80",650.3,"1,031.00",78.9,"4,731.80",9.3
Great Britain,1994 Q4 (end December),Thousands,Motorcycles,45.4,34.4,35.1,38.9,45.6,43.5,137,92.9,195.1,52.9,720.9,12
Great Britain,1995 Q4 (end December),Thousands,Motorcycles,47.1,36.6,31.8,32.2,35.8,42.1,129.6,80.8,203.7,62.8,702.5,12.3
Great Britain,1996 Q4 (end December),Thousands,Motorcycles,59.5,37.7,33.6,29,29.7,33.1,132.2,75.6,227.7,80.7,738.8,13
Great Britain,1997 Q4 (end December),Thousands,Motorcycles,82.5,46.8,34.5,30.5,26.7,27.2,123.1,65.5,220.9,94.6,752.4,12.6
Great Britain,1998 Q4 (end December),Thousands,Motorcycles,107.4,67.7,45.2,32.4,29,25.3,114.8,62.1,222.9,106.9,813.8,12
Great Britain,1999 Q4 (end December),Thousands,Motorcycles,140.9,87.4,62.9,41.9,30.8,27.3,101.7,63.5,219,114,889.4,11
Great Britain,2000 Q4 (end December),Thousands,Motorcycles,158,110.5,80.3,57.5,38.7,28.4,91.1,64.9,210.5,113.7,953.7,10.3
Great Britain,2001 Q4 (end December),Thousands,Motorcycles,154.6,122.8,101.2,72.8,53.3,36.1,88.7,61.1,205.6,113.6,"1,010.00",9.8
Great Britain,2002 Q4 (end December),Thousands,Motorcycles,144.8,123.4,111,92.2,68.6,50.6,99.1,55.6,206.8,117.9,"1,070.00",9.6
Great Britain,2003 Q4 (end December),Thousands,Motorcycles,140.8,117.9,111.9,100.8,87.6,66.1,126.5,51,210.8,121.2,"1,134.70",9.6
Great Britain,2004 Q4 (end December),Thousands,Motorcycles,123.1,119.5,110.4,104,95.6,83.7,165.9,51.5,215.5,121.9,"1,191.20",9.6
Great Britain,2005 Q4 (end December),Thousands,Motorcycles,122.8,104.3,107.5,97.7,93.9,86.5,208.9,53.8,213.4,117.6,"1,206.40",9.8
Great Britain,2006 Q4 (end December),Thousands,Motorcycles,123.6,103.3,93.4,93.4,87.9,84.4,241.1,61.7,208.8,112,"1,209.60",10
Great Britain,2007 Q4 (end December),Thousands,Motorcycles,134.9,103.6,93.8,83.5,85.4,81.5,263.4,80.3,211.5,110.6,"1,248.30",10
Great Britain,2008 Q4 (end December),Thousands,Motorcycles,130.6,112.8,93,83,76.1,78.3,269.7,103.7,218.2,109.2,"1,274.60",10.2
Great Britain,2009 Q4 (end December),Thousands,Motorcycles,103.8,109.2,99.8,81.1,75,69.7,264.3,130.6,233.6,108.6,"1,275.60",10.8
Great Britain,2010 Q4 (end December),Thousands,Motorcycles,89.7,87,95.1,84.4,71.2,66.9,245.3,140.2,248.5,105.9,"1,234.40",11.3
Great Britain,2011 Q4 (end December),Thousands,Motorcycles,88.6,76.7,78.5,83.4,77.3,66,236.5,148.5,276.3,106.3,"1,238.30",11.8
Great Britain,2012 Q4 (end December),Thousands,Motorcycles,88.6,76,69.3,69.1,74.6,70.3,223.9,145.5,301.4,106.2,"1,224.80",12.2
Great Britain,2013 Q4 (end December),Thousands,Motorcycles,86.8,75.9,67.9,60.9,62.7,67.5,217.8,140.9,328.7,110.2,"1,219.40",12.9
Great Britain,2014 Q4 (end December),Thousands,Motorcycles,92.4,72.7,66.2,58.3,54.2,56.3,214.3,131.4,350.7,110,"1,206.60",13.3
Great Britain,2015 Q4 (end December),Thousands,Motorcycles,103.7,79.9,64.4,57.1,52.3,49.5,204.5,124.6,372.6,112.1,"1,220.80",13.4
Great Britain,2016 Q4 (end December),Thousands,Motorcycles,114.8,90,71.9,57.2,51.4,47.4,191.7,118.6,390.2,114.9,"1,248.10",13.4
Great Britain,2017 Q4 (end December),Thousands,Motorcycles,93.6,98.4,79.9,62.1,50.5,46,171.5,117.9,398,115.7,"1,233.60",13.8
Great Britain,2018 Q4 (end December),Thousands,Motorcycles,94.4,80.9,88.7,69.2,55.2,45.5,154.7,115.4,414.3,124.3,"1,242.70",14.3
Great Britain,2019 Q4 (end December),Thousands,Motorcycles,96.6,81.7,73.6,77.1,61.5,49.9,145.8,109.1,424.8,130,"1,250.20",14.7
Great Britain,2020 Q4 (end December),Thousands,Motorcycles,93.4,84.6,75.4,65.9,70,56.4,149.1,98.4,444.3,136.2,"1,273.80",15.1
Great Britain,2021 Q4 (end December),Thousands,Motorcycles,102.3,82.7,79.2,69,61.5,65.2,162,89.6,462.2,141.6,"1,315.30",15.2
Great Britain,2022 Q4 (end December),Thousands,Motorcycles,104.3,89.2,75.1,70.8,63.2,57.1,180.1,83.1,471,143.8,"1,337.60",15.4
Great Britain,2023 Q4 (end December),Thousands,Motorcycles,99.9,88.9,80.4,65.1,63.8,57.6,185,80.3,463.6,143.1,"1,327.60",15.6
Great Britain,2024 Q4 (end December),Thousands,Motorcycles,96.7,85.6,80.7,70.7,58,58.1,188.3,82.9,463.5,144.2,"1,328.80",16
Great Britain,2025 Q4 (end December),Thousands,Motorcycles,81.8,87.9,79.6,72.7,65.1,53.7,193,92.5,464.6,142.2,"1,333.10",16.2
Great Britain,1994 Q4 (end December),Thousands,Other vehicles,46.9,35.7,28,27.4,35.3,39.4,122.5,66.8,170.1,26.9,599,11.2
Great Britain,1995 Q4 (end December),Thousands,Other vehicles,48.1,39.7,33.4,26,25.4,32.2,115.5,63,150.6,39.9,573.6,10.8
Great Britain,1996 Q4 (end December),Thousands,Other vehicles,44.1,40.7,36.8,30.8,24,23.1,112.5,58.3,154.1,39.9,564.2,11.1
Great Britain,1997 Q4 (end December),Thousands,Other vehicles,39.6,37.9,38.8,34.9,29.1,22.3,103.5,57.2,157.6,40.9,561.8,11.3
Great Britain,1998 Q4 (end December),Thousands,Other vehicles,30,34.5,36.4,37,33,27,91.1,58.9,160.5,42.8,551.1,11.8
Great Britain,1999 Q4 (end December),Thousands,Other vehicles,31.2,26.3,32.3,33.8,33.9,29.6,83.1,59,161.4,43.1,533.8,12.3
Great Britain,2000 Q4 (end December),Thousands,Other vehicles,29,26.9,24.7,30,31.1,30.4,80.2,56,160.8,42.4,511.7,12.8
Great Britain,2001 Q4 (end December),Thousands,Other vehicles,30.8,24.4,24.9,22.9,27.6,28.2,85.8,48.5,165.7,42.2,500.8,13.2
Great Britain,2002 Q4 (end December),Thousands,Other vehicles,33.6,26.2,23.3,23.6,21.8,26.1,92,42.7,172,42.8,504,13.5
Great Britain,2003 Q4 (end December),Thousands,Other vehicles,35.9,29.2,25.1,22.2,22.6,20.8,94.6,41.7,177.4,44,513.5,13.6
Great Britain,2004 Q4 (end December),Thousands,Other vehicles,38.3,31.7,28.3,24.3,21.5,21.7,90.9,47.2,184.3,45.6,533.7,13.9
Great Britain,2005 Q4 (end December),Thousands,Other vehicles,37.5,33.3,29.8,26.4,22.7,20.2,83.8,53.3,187,46.6,540.6,14.1
Great Britain,2006 Q4 (end December),Thousands,Other vehicles,38.2,32.3,31.2,27.8,24.7,21.1,75.7,56.1,189.4,47,543.4,14.3
Great Britain,2007 Q4 (end December),Thousands,Other vehicles,44.1,33.1,30.1,29,26.1,23,70.6,55.9,194.1,59.6,565.7,14.4
Great Britain,2008 Q4 (end December),Thousands,Other vehicles,45.1,38.2,30.5,27.5,26.9,24.1,71.5,49.5,200.1,72,585.3,14.5
Great Britain,2009 Q4 (end December),Thousands,Other vehicles,40.2,38.7,35.2,28,25.5,24.8,73.8,44.2,207,82.8,600.3,14.8
Great Britain,2010 Q4 (end December),Thousands,Other vehicles,39.2,35,35.8,32.5,26.1,23.7,77.7,40.4,211.9,93.4,615.8,15.1
Great Britain,2011 Q4 (end December),Thousands,Other vehicles,44.4,35.3,32.5,33.2,30.5,24.7,81.2,40.9,216.5,101.9,641.2,15.2
Great Britain,2012 Q4 (end December),Thousands,Other vehicles,46.2,40.8,32.7,30.4,31,28.3,82.9,42.5,219.7,113,667.5,15.2
Great Britain,2013 Q4 (end December),Thousands,Other vehicles,44.6,43.1,38,30.4,28.4,28.9,87.2,45.7,222.7,117.8,686.9,15.3
Great Britain,2014 Q4 (end December),Thousands,Other vehicles,45.4,41.5,39.7,34.6,27.9,26.1,89.5,48,224.2,119.8,696.6,15.5
Great Britain,2015 Q4 (end December),Thousands,Other vehicles,44.5,42.5,38.6,35.5,31.6,26.1,91.1,48.9,228,119.3,706,15.6
Great Britain,2016 Q4 (end December),Thousands,Other vehicles,43,41.1,40.2,35.7,33.3,29.4,92.6,50.1,234.2,121.5,721.2,15.7
Great Britain,2017 Q4 (end December),Thousands,Other vehicles,45.5,40.3,39,36.4,32.8,31.5,95.9,53.5,244.4,126,745.3,15.9
Great Britain,2018 Q4 (end December),Thousands,Other vehicles,46,42.4,37.7,35.2,33,29.7,98.1,56.4,250.2,129.9,758.6,16.1
Great Britain,2019 Q4 (end December),Thousands,Other vehicles,47.9,42.3,38.9,32.5,31,30.1,99.6,56.6,256.4,131.9,767.4,16.4
Great Britain,2020 Q4 (end December),Thousands,Other vehicles,39.8,44.8,40,35.9,30.6,28.7,101.4,54.9,260.7,132.3,769,16.7
Great Britain,2021 Q4 (end December),Thousands,Other vehicles,48.2,37,42.5,36.5,33.9,28.8,101.8,57.2,269.9,133.3,789.1,16.8
Great Britain,2022 Q4 (end December),Thousands,Other vehicles,49.2,44.5,35.3,38.9,33.8,30.9,99.5,60,276.3,134.7,803.1,16.9
